listing_id,listing_date,district,rooms,listing_price_usd,source_url,size_m2,level,max_levels,is_new_building,collected_at_utc
91871,2026-08-05,Yunusobod,1,34000,https://hata.uz/en/listings/object/yunusobod-honsaroy-zorsan-91871,37.0,11,17,1,2026-08-21T23:55:40+00:00
91872,2026-08-05,Yunusobod,1,34000,https://hata.uz/en/listings/object/xonsaroy-zorsan-1-xona-sotiladi-91872,36.6,11,17,1,2026-08-21T23:55:40+00:00
91876,2026-08-05,Yunusobod,1,34000,https://hata.uz/en/listings/object/xon-saroy-zorsan-kvartira-sotiladi-91876,36.6,11,17,1,2026-08-21T23:55:40+00:00
91878,2026-08-05,Yunusobod,1,26000,https://hata.uz/en/listings/object/yunusobod-betonka-1honali-honadon-bosh-tolov30-kolgani-36oyga-rassrochka-91878,37.2,14,16,1,2026-08-21T23:55:40+00:00
91883,2026-08-05,Yunusobod,3,37390,https://hata.uz/en/listings/object/arzon-narxda-3-komn-kvartira-37-390-ue-po-aktsii-20-skidka-619-91883,64.6,8,9,1,2026-08-21T23:55:40+00:00
91884,2026-08-05,Yunusobod,2,32500,https://hata.uz/en/listings/object/prodaetsya-2-komnatnaya-kvartira-v-individualnom-kirpichnom-dome-91884,43.0,1,3,1,2026-08-21T23:55:40+00:00
91885,2026-08-05,Yunusobod,2,32500,https://hata.uz/en/listings/object/shoshiling-tashkent-tumanida-parvozda-1-2-5-honali-honadonlar-sotiladi-91885,43.0,1,3,1,2026-08-21T23:55:40+00:00
91886,2026-08-05,Yunusobod,2,27000,https://hata.uz/en/listings/object/yashnobod-1-1-3-evro-kirpich-ot-24-42m2z-91886,42.0,1,3,1,2026-08-21T23:55:40+00:00
91890,2026-08-05,Yunusobod,3,32000,https://hata.uz/en/listings/object/kvartira-chirchik-shahar-yangi-uzbekiston-91890,55.0,8,9,1,2026-08-21T23:55:40+00:00
91893,2026-08-05,Yunusobod,1,36000,https://hata.uz/en/listings/object/novostroyka-zhk-sunrise-gotovyy-dom-40m2-100-oplata-91893,40.0,14,16,1,2026-08-21T23:55:40+00:00
91895,2026-08-05,Yunusobod,1,36000,https://hata.uz/en/listings/object/prodazha-novostroyki-zhk-sunrise-1-kom-pri-100-oplate-91895,39.6,14,16,1,2026-08-21T23:55:40+00:00
91901,2026-08-05,Yunusobod,1,27000,https://hata.uz/en/listings/object/ihcham-1-honalik-tayor-honadonlarga-ega-boling-arzon-narhlarda-yunusobod-91901,27.0,11,16,1,2026-08-21T23:55:40+00:00
91902,2026-08-05,Yunusobod,1,34000,https://hata.uz/en/listings/object/yunusobod-honsaroy-zorsan-91902,36.6,6,17,1,2026-08-21T23:55:40+00:00
91903,2026-08-05,Yunusobod,1,34000,https://hata.uz/en/listings/object/xonsaroy-zorsan-novostroyka-yunsobod-91903,37.0,11,17,1,2026-08-21T23:55:40+00:00
91905,2026-08-05,Yunusobod,1,34000,https://hata.uz/en/listings/object/hon-saroy-novostroyka-kvartira-sotiladi-91905,36.6,10,17,1,2026-08-21T23:55:40+00:00
91906,2026-08-05,Yunusobod,1,34000,https://hata.uz/en/listings/object/yunsobod-xonsaroy-zorsan-sotiladi-91906,36.6,10,17,1,2026-08-21T23:55:40+00:00
91907,2026-08-05,Yunusobod,1,34000,https://hata.uz/en/listings/object/xonsaroy-zorsan-kvartira-sotiladi-91907,36.6,11,17,1,2026-08-21T23:55:40+00:00
91908,2026-08-05,Yunusobod,1,34000,https://hata.uz/en/listings/object/honsaroy-novostroyka-kvartira-sotiladi-91908,36.6,13,17,1,2026-08-21T23:55:40+00:00
91909,2026-08-05,Yunusobod,1,27340,https://hata.uz/en/listings/object/novostroyka-turkistan-rassrochka-bez-na-30-mes-91909,37.2,15,16,1,2026-08-21T23:55:40+00:00
91910,2026-08-05,Yunusobod,1,33500,https://hata.uz/en/listings/object/1-xona-30m2-100-tolovga-33500-zhk-sunrise-91910,30.0,2,16,1,2026-08-21T23:55:40+00:00
91913,2026-08-05,Yunusobod,1,34000,https://hata.uz/en/listings/object/yunusobod-rayon-xon-saroy-zorsan-91913,36.6,11,17,1,2026-08-21T23:55:40+00:00
